ERP CODE;;BARCODE;ITEM DESCRIPTION;LOT DESCRIPTION & COMMENTS;CATEGORY;QTY NOW AVAILABLE;PRICE;ITEM INFO;YOUR ORDER;PUBLISHER;WEIGHT (in Kg);VOLUME (in M3);Our margin;TOTAL PRICE;;
033050;B0767J6J46;747180372045;Call of Duty - Crash Map Hoodie - Size L;EN,DE,FR,ES,IT LABEL / PLASTIC BAG;VARIOUS;3;20,00 _;;;NUMSKULL;0,560;0,004320;22,00 _;27,28 _;;
017315;B00WNAIPYI;089195360144;MARVEL AVENGERS AGE OF ULTRON - HULK BOBBLE-HEAD - SERIES ONE #36014 (15cm);MARVEL AVENGERS AGE OF ULTRON - HULK BOBBLE-HEAD - SERIES ONE #36014 (15cm);TV & MOVIES;5;19,90 _;;;DRAGON MODELS;0,750;0,007380;21,89 _;27,14 _;;
019882;B00T7VT2SO;761941327259;DC COMICS - CATWOMAN BY DESIGNER JAE LEE SERIES 1 ACTION FIGURE;EN , FR  PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;2;19,90 _;;;DC COMICS;0,189;0,002366;21,89 _;27,14 _;;
018942;B0183YNA38;3700334686501;STAR WARS - VADER MASK BLACK MESSENGER BAG;ENGLISH LABEL / PLASTIC BAG;GAMING;8;19,80 _;;;UNKNOWN;0,656;0,006000;21,78 _;27,01 _;;
020066;B0153EN4L4;3700334675536;STAR WARS VII - TROOPER COVER MESSENGER BAG;ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;14;19,80 _;;;''LEGEND STUFF'';0,711;0,006000;21,78 _;27,01 _;;
020064;B0153EMZKA;3700334690294;STAR WARS VII - KYLO REN MASK MESSENGER BAG;ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;31;19,80 _;;;UNKNOWN;0,702;0,006000;21,78 _;27,01 _;;
020061;B0153EMZD2;3700334675475;STAR WARS VII - LOGO MESSENGER BAG;ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;44;19,80 _;;;UNKNOWN;0,701;0,006000;21,78 _;27,01 _;;
020062;B0153EMXRA;3700334675482;STAR WARS VII - KYLO REN IN FIGHTING STANCE MESSENGER BAG;ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;18;19,80 _;;;UNKNOWN;0,703;0,006000;21,78 _;27,01 _;;
045499;B07FN1S5B4;4260570022345;"Wolfenstein - ""Trail of the Dead"" Oversize Mousepad (GE3441)";EN,FR,ES,DE PACK / CARTON WINDOW BOX WITH PLASTIC FILM;GAMING;1;19,75 _;;;GAYA ENTERTAINMENT;0,670;0,002916;21,73 _;26,94 _;;
037412;B079NNK7H2;8718526089981;Zelda - Hyrule Kingdom Wallet (MW233575ZEL);ENGLISH LABEL / CARTON HOLDER;GAMING;1;19,75 _;;;Bioworld Europe;0,092;0,000448;21,73 _;26,94 _;;
024987;B01J7MHTDW;8436535274401;SUICIDE SQUAD - LOGO MESSENGER BAG (SDTWRN27440);ENGLISH LABEL / PLASTIC BAG;GAMING;33;19,75 _;;;SD TOYS;0,550;0,005400;21,73 _;26,94 _;;
044662;B01GPSHEYA;8718526222258;Marvel - Captain America Civil War Swimshort - Size XL (SH180076CAP-XL);ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;1;19,75 _;;;Bioworld Europe;0,180;0,001104;21,73 _;26,94 _;;
022642;B01FLAHLIW;8436546891024;BACK TO THE FUTURE - DELOREAN CAR TRAILS WITH FLAP MESSENGER BAG (SDTUNI89102);ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;14;19,75 _;;;SD TOYS;0,550;0,005400;21,73 _;26,94 _;;
022641;B01FLAHKD8;8436546891000;BACK TO THE FUTURE LOGO WITH FLAP MESSENGER BAG (SDTUNI89100);ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;28;19,75 _;;;SD TOYS;0,550;0,005400;21,73 _;26,94 _;;
021937;B01BY90532;3700789220282;"STAR WARS - ""BB-8"" MESSENGER BAG (ABYBAG133)";ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;63;19,75 _;;;''Abysse'';0,670;0,006720;21,73 _;26,94 _;;
